WG,chapter,report_page,chapter_page,line,col.index,line_reference,final_text,raw_text
WGI,02,327,41,1,col1,|,and its vertical structure had only medium confidence in the nh,and its vertical structure had only medium confidence in the nh_ along with the application of corrections for ionospheric effects
WGI,02,327,41,2,col1,>>>,extratropics and low confidence elsewhere. in particular there was,"extratropics and low confidence elsewhere. in particular there was_ (danzer et al., 2020). the uncertainty due to the changing number of"
WGI,02,327,41,3,col1,>>>,low confidence in the vertical structure of temperature trends in the,low confidence in the vertical structure of temperature trends in the_ observations is reduced by correcting for the sampling uncertainty in
WGI,02,327,41,4,col1,|,upper tropical troposphere.,"upper tropical troposphere._ ro climatological fields (e.g., scherllin-pirscher et al., 2011). for airs,"
WGI,02,328,42,1,col2,|," troposphere have warmed faster than those at the surface since 2001,","closely coupled with temperatures in the stratosphere than those_ troposphere have warmed faster than those at the surface since 2001,"
WGI,02,328,42,2,col2,>>>, but low confidence in changes prior to 2001. it is virtually certain,"in the troposphere, it is not yet clear whether the rate of increase_ but low confidence in changes prior to 2001. it is virtually certain"
WGI,02,328,42,3,col2,|, upper air temperature trends,2_ upper air temperature trends
WGI,02,329,43,1,col1,|,the last 20 years. it is likely that middle and upper stratospheric,"the last 20 years. it is likely that middle and upper stratospheric_ hydroclimate, including as part of its assessment of paleo floods and"
WGI,02,329,43,2,col1,>>>,"temperatures have decreased since 1980, but there is low confidence","temperatures have decreased since 1980, but there is low confidence_ droughts, but did not assess proxy evidence for paleo hydroclimate"
WGI,02,329,43,3,col1,|,in the magnitude. it is virtually certain that the tropopause height has,in the magnitude. it is virtually certain that the tropopause height has_ indicators over continental and larger scales. the paleoclimate
WGI,02,329,43,4,col1,>>>,risen over 1980–2019 but there is low confidence in the magnitude,risen over 1980–2019 but there is low confidence in the magnitude_ evidence assessed in ar5 was broadly consistent with global
WGI,02,329,43,5,col1,|,"of this rise, or whether the rate of change has reduced commensurate","of this rise, or whether the rate of change has reduced commensurate_ hydroclimate scaling with temperature: warmer periods were wetter"
WGI,02,331,45,1,col2,|," et al., 2016). moreover, data gaps in observations from ground-based","overall, there is a significant increase in tcwv over global land areas_ et al., 2016). moreover, data gaps in observations from ground-based"
WGI,02,331,45,2,col2,>>>, gnss receivers and radiosondes lead to low confidence in tcwv,"since 1979 (chen and liu, 2016)._ gnss receivers and radiosondes lead to low confidence in tcwv"
WGI,02,331,45,3,col2,|, 1.0,"several tcwv data records, with global coverage but limited timespan_ 1.0"
WGI,02,332,46,1,col1,|,in the observing system imply medium confidence in estimation of the,in the observing system imply medium confidence in estimation of the_ and the maritime continent (figure 2.14d–f). significant decreases
WGI,02,332,46,2,col1,>>>,trend magnitudes. low confidence in longer-term trends arises from,"trend magnitudes. low confidence in longer-term trends arises from_ are observed over central south america, western north america,"
WGI,02,332,46,3,col1,|,uncertainties in the sst-tcwv relationship and current centennial,uncertainties in the sst-tcwv relationship and current centennial_ northern africa and the middle east. a detailed assessment of the
WGI,02,332,46,4,col1,|,for cru ts 4.04 and ghcnv4 (table 2.6). these changes have been,for cru ts 4.04 and ghcnv4 (table 2.6). these changes have been
WGI,02,332,46,5,col1,>>>,the ar5 concluded that there was low confidence in precipitation,the ar5 concluded that there was low confidence in precipitation_ accompanied by a strengthening of precipitation seasonality over
WGI,02,332,46,6,col1,|,"change averaged over global land areas prior to 1950, and medium","change averaged over global land areas prior to 1950, and medium_ tropical land areas, although with broad spread between different"
WGI,02,332,46,7,col2,|," precipitation was observed since the 1980s (medium confidence),","during 2000 to 2019 (figure 2.15c)._ precipitation was observed since the 1980s (medium confidence),"
WGI,02,332,46,8,col2,>>>, over the global ocean there is low confidence in the estimates of,several satellite-based precipitation datasets improve the_ over the global ocean there is low confidence in the estimates of
WGI,02,332,46,9,col2,|," precipitation trends, linked to uncertainties in satellite retrievals,","representation of the spatio-temporal changes since the late 20th_ precipitation trends, linked to uncertainties in satellite retrievals,"
WGI,02,335,49,1,col1,|,changing state of the climate system,changing state of the climate system_ chapter 2
WGI,02,335,49,2,col1,>>>,"in conclusion, observational uncertainty yields low confidence in","in conclusion, observational uncertainty yields low confidence in_ 2.2). chapter 8 assesses large-scale as well as regional aspects of"
WGI,02,335,49,3,col1,|,"globally averaged trends in p–e over the 20th century, with a spatial","globally averaged trends in p–e over the 20th century, with a spatial_ circulation components and their impact on the hydrological cycle,"
WGI,02,335,49,4,col1,|,2.3.1.3.6 streamflow,2.3.1.3.6 streamflow
WGI,02,335,49,5,col1,>>>,the ar5 reported low confidence in trends in the strength of the,the ar5 reported low confidence in trends in the strength of the
WGI,02,335,49,6,col1,>>>,the ar5 concluded that there was low confidence in a positive trend,the ar5 concluded that there was low confidence in a positive trend_ hadley circulation (hc) and the walker circulation (wc) due
WGI,02,335,49,7,col1,|,in global river discharge during the 20th century. it noted that many,in global river discharge during the 20th century. it noted that many_ to uncertainties in available reanalysis datasets and the large
WGI,02,335,49,8,col1,|,decreasing flows than significantly increasing flows since the 1950s,"decreasing flows than significantly increasing flows since the 1950s_ (nguyen et al., 2015), this implies low confidence in changes in the"
WGI,02,335,49,9,col1,>>>,(low confidence).,(low confidence)._ extent and intensity of hc derived from centennial-scale reanalyses.
WGI,02,335,49,10,col1,|,"however, using multiple observational datasets and centennial-scale","however, using multiple observational datasets and centennial-scale"
WGI,02,335,49,11,col2,|, with the existence of apparent non-climatic artefacts in the datasets,with slightly more globally gauged rivers experiencing significantly_ with the existence of apparent non-climatic artefacts in the datasets
WGI,02,335,49,12,col2,>>>," (nguyen et al., 2015), this implies low confidence in changes in the","decreasing flows than significantly increasing flows since the 1950s_ (nguyen et al., 2015), this implies low confidence in changes in the"
WGI,02,335,49,13,col2,|, extent and intensity of hc derived from centennial-scale reanalyses.,(low confidence)._ extent and intensity of hc derived from centennial-scale reanalyses.
WGI,02,337,51,1,col1,|,"has been accompanied by a strengthening of the hadley circulation,","has been accompanied by a strengthening of the hadley circulation,_ 2013; b. wang et al., 2018, 2021; x. huang et al., 2019b). this"
WGI,02,337,51,2,col1,>>>,particularly in the nh (medium confidence). there is low confidence,particularly in the nh (medium confidence). there is low confidence_ highlights the existence of multi-decadal variations in the nh
WGI,02,337,51,3,col1,|,in the estimation of long-term trends in the strength of the walker,"in the estimation of long-term trends in the strength of the walker_ monsoon circulation patterns and precipitation intensity (wang et al.,"
WGI,02,337,51,4,col1,|,as well as a decrease of global land monsoon rainfall over the second,"as well as a decrease of global land monsoon rainfall over the second_ 2013) and the estimation of gm precipitation over the ocean areas,"
WGI,02,337,51,5,col1,>>>,"half of the 20th century. nevertheless, there was low confidence in the","half of the 20th century. nevertheless, there was low confidence in the_ leading to a large apparent spread across datasets (kitoh et al., 2013;"
WGI,02,337,51,6,col1,|,observed circulation trends due to uncertainties in reanalysis products,"observed circulation trends due to uncertainties in reanalysis products_ kamae et al., 2017)."
WGI,02,338,52,1,col1,|,"precipitation has exhibited large multi-decadal variability over the last   cattiaux et al., 2016; vavrus, 2018). hypothesized links to arctic","precipitation has exhibited large multi-decadal variability over the last   cattiaux et al., 2016; vavrus, 2018). hypothesized links to arctic"
WGI,02,338,52,2,col1,>>>,"century, creating low confidence in the existence of centennial-length","century, creating low confidence in the existence of centennial-length_ warming are assessed in cross-chapter box 10.1."
WGI,02,338,52,3,col1,|,trends in the instrumental record. proxy reconstructions show a likely,trends in the instrumental record. proxy reconstructions show a likely
WGI,02,338,52,4,col1,|,the poleward shifting of the circulation features since the 1970s.,"the poleward shifting of the circulation features since the 1970s._ has decreased in the nh in both winter and summer (neu et al.,"
WGI,02,338,52,5,col1,>>>,there was low confidence in any large-scale change in blocking.,"there was low confidence in any large-scale change in blocking._ 2013; coumou et al., 2015; chang et al., 2016; j. wang et al., 2017a;"
WGI,02,338,52,6,col1,|,"gertler and o’gorman, 2019). the regional changes for different","gertler and o’gorman, 2019). the regional changes for different"
WGI,02,338,52,7,col2,|," methods (neu et al., 2013; grieger et al., 2018). thus there is overall","drier-than-present conditions over mid-latitudes of western north_ methods (neu et al., 2013; grieger et al., 2018). thus there is overall"
WGI,02,338,52,8,col2,>>>, low confidence for recent changes in global extratropical storm tracks.,"america (hermann et al., 2018; liefert and shuman, 2020) during_ low confidence for recent changes in global extratropical storm tracks."
WGI,02,338,52,9,col2,|, a consistent poleward shift of the tropospheric extratropical jets,2018) implies that the winter north pacific jetstream was shifted_ a consistent poleward shift of the tropospheric extratropical jets
WGI,02,339,53,1,col1,|,"et al., 2018b; kononova and lupo, 2020). as a result, hemispheric","et al., 2018b; kononova and lupo, 2020). as a result, hemispheric_ trends was low owing to uncertainties in datasets and measures"
WGI,02,339,53,2,col1,>>>,and global trends in blocking frequency have overall low confidence.,and global trends in blocking frequency have overall low confidence._ used. sea level pressure (slp) was assessed to have likely decreased
WGI,02,339,53,3,col1,|,from 1979–2012 over the tropical atlantic and increased over large,from 1979–2012 over the tropical atlantic and increased over large
WGI,02,339,53,4,col1,|,"in summary, the total number of extratropical cyclones has likely","in summary, the total number of extratropical cyclones has likely_ regions of the pacific and south atlantic, but trends were sensitive to"
WGI,02,339,53,5,col1,>>>,"increased since the 1980s in the nh (low confidence), but with","increased since the 1980s in the nh (low confidence), but with_ the period analysed."
WGI,02,339,53,6,col1,|,fewer deep cyclones particularly in summer. the number of strong,fewer deep cyclones particularly in summer. the number of strong
WGI,02,339,53,7,col1,|,shifting poleward in both hemispheres since the 1980s with marked,"shifting poleward in both hemispheres since the 1980s with marked_ homogeneity and to better retaining true extreme values (dunn et al.,"
WGI,02,339,53,8,col1,>>>,seasonality in trends (medium confidence). there is low confidence in,"seasonality in trends (medium confidence). there is low confidence in_ 2012, 2014, 2016). global mean land wind speed (excluding australia)"
WGI,02,339,53,9,col1,|,339,339
WGI,02,339,53,10,col2,|, over 950–1400 ce to latitudes that likely were similar to those since,over eastern european russia and western siberia (40°e–100°e) a_ over 950–1400 ce to latitudes that likely were similar to those since
WGI,02,339,53,11,col2,>>>, 1979. there is low confidence in observed global-scale changes in the,tendency towards longer blocking events was reported by luo et al._ 1979. there is low confidence in observed global-scale changes in the
WGI,02,339,53,12,col2,|, occurrence of blocking events.,(2016) for 2000–2013 and by tyrlis et al. (2020) for 1979–2017._ occurrence of blocking events.
WGI,02,341,55,1,col1,|,confidence in a recent partial recovery since around 2010. differences,"confidence in a recent partial recovery since around 2010. differences_ (reichler et al., 2012; butler et al., 2015). an assessment of multi-"
WGI,02,341,55,2,col1,>>>,between available wind speed estimates lead to low confidence in,between available wind speed estimates lead to low confidence in_ decadal variability and change in ssw events is sensitive to both
WGI,02,341,55,3,col1,|,trends over the global ocean as a whole but with most estimates,"trends over the global ocean as a whole but with most estimates_ chosen metric and methods (palmeiro et al., 2015). due to the lack of"
WGI,02,341,55,4,col2,|," vortex has weakened since the 1980s in midwinter, and its location","stratospheric warming (ssw) events have been proposed and_ vortex has weakened since the 1980s in midwinter, and its location"
WGI,02,341,55,5,col2,>>>, record and substantial decadal variability yields low confidence in,"butler and gerber, 2018), and new techniques identifying daily vortex_ record and substantial decadal variability yields low confidence in"
WGI,02,341,55,6,col2,|, any trends in the occurrence of ssw events in the nh winter and such,"patterns and ssws have been developed (d.m. mitchell et al., 2013;_ any trends in the occurrence of ssw events in the nh winter and such"
WGI,02,344,58,1,col2,|, for september 15.75 million km2) of satellite observations (high,"2007), old ship logbooks (ackley et al., 2003; edinburgh and day,_ for september 15.75 million km2) of satellite observations (high"
WGI,02,344,58,2,col2,>>>, confidence). there remains low confidence in all aspects of antarctic,"2016), and ice core records (curran et al., 2003; abram et al., 2010;_ confidence). there remains low confidence in all aspects of antarctic"
WGI,02,344,58,3,col2,|, sea ice prior to the satellite era owing to a paucity of records that are,"sinclair et al., 2014), amongst other methods (e.g., murphy et al.,_ sea ice prior to the satellite era owing to a paucity of records that are"
WGI,02,347,61,1,col1,|,2.3.2.4.2 antarctic ice sheet (ais),"2.3.2.4.2 antarctic ice sheet (ais)_ present, while some parts of the ice sheet might have been smaller"
WGI,02,347,61,2,col1,>>>,than now (low confidence).,than now (low confidence).
WGI,02,347,61,3,col1,|,the ar5 reported that there was high confidence that the antarctic,the ar5 reported that there was high confidence that the antarctic
WGI,02,348,62,1,col1,|,"increased. during the mpwp and lig, the ice sheet was smaller than","increased. during the mpwp and lig, the ice sheet was smaller than_ (n = 9, mean t = -6.23°c)"
WGI,02,348,62,2,col1,>>>,present (medium confidence). there is low confidence as to whether,present (medium confidence). there is low confidence as to whether_ 0
WGI,02,348,62,3,col1,|,the total mass of the ice sheet was larger or smaller around 6 ka,the total mass of the ice sheet was larger or smaller around 6 ka
WGI,02,349,63,1,col1,|,(high confidence). limited evidence suggests that permafrost was,(high confidence). limited evidence suggests that permafrost was_ a combined study of model and observational data further confirmed
WGI,02,349,63,2,col1,>>>,less extensive during the mpwp (low confidence). permafrost that,"less extensive during the mpwp (low confidence). permafrost that_ these results, treating temperature as a passive tracer (gebbie and"
WGI,02,349,63,3,col1,|,"formed after 3ka still persists in areas of the nh, but there are","formed after 3ka still persists in areas of the nh, but there are_ huybers, 2019) and addressing the role of circulation dynamics"
WGI,02,350,64,1,col2,|," temperature changes during the last deglaciation (high confidence),","and particularly since 2010 (section 3.5.1.3 and figures 2.26 and_ temperature changes during the last deglaciation (high confidence),"
WGI,02,350,64,2,col2,>>>, as well as during the holocene and ce (low confidence). it is likely the,"3.26), although uncertainties are large (table 2.7). ocean reanalyses_ as well as during the holocene and ce (low confidence). it is likely the"
WGI,02,350,64,3,col2,|," global ocean has warmed since 1871, consistent with the observed","support findings of continued upper ocean warming (balmaseda_ global ocean has warmed since 1871, consistent with the observed"
WGI,02,353,67,1,col1,|,"on new understanding, srocc placed the upper bound at 25 m but","on new understanding, srocc placed the upper bound at 25 m but_ add further uncertainty. in light of these recent studies and previous"
WGI,02,353,67,2,col1,>>>,with low confidence.,"with low confidence._ assessments, there is medium confidence that peak gmsl during the"
